t	L_x
12 260	9,94482
12 270	9,94694
12 280	9,94516
12 290	9,94613
12 300	9,94679
12 310	9,94389
12 320	9,94319
12 330	9,94509
12 340	9,94551
12 350	9,94725
12 360	9,9459
12 370	9,94415
12 380	9,94484
12 390	9,94504
12 400	9,94314
12 410	9,94646
12 420	9,94809
12 430	9,94526
12 440	9,94429
12 450	9,94451
12 460	9,94378
12 470	9,94511
12 480	9,94626
12 490	9,94621
12 500	9,94763
12 510	9,94419
12 520	9,94185
12 530	9,94493
12 540	9,9479
12 550	9,94475
12 560	9,94596
12 570	9,94588
12 580	9,94475
12 590	9,94396
12 600	9,94438
12 610	9,94491
12 620	9,94836
12 630	9,94653
12 640	9,9436
12 650	9,94501
12 660	9,94501
12 670	9,94331
12 680	9,94615
12 690	9,94808
12 700	9,94555
12 710	9,94506
12 720	9,94405
12 730	9,9442
12 740	9,94594
12 750	9,94629
12 760	9,94516
12 770	9,94779
12 780	9,94503
12 790	9,94219
12 800	9,94479
12 810	9,94754
12 820	9,94537
12 830	9,94608
12 840	9,9462
12 850	9,94501
12 860	9,94484
12 870	9,9437
12 880	9,94452
12 890	9,9484
12 900	9,94713
12 910	9,94351
12 920	9,94511
12 930	9,94539
12 940	9,94396
12 950	9,9461
12 960	9,9477
12 970	9,94628
12 980	9,94552
12 990	9,94364
13 000	9,94372
13 010	9,94708
13 020	9,94633
13 030	9,94518
13 040	9,94714
13 050	9,94616
13 060	9,94287
13 070	9,94505
13 080	9,94646
13 090	9,94625
13 100	9,94664
13 110	9,94573
13 120	9,94483
13 130	9,94552
13 140	9,9438
13 150	9,94459
13 160	9,94922
13 170	9,94755
13 180	9,94338
13 190	9,94423
13 200	9,94605
13 210	9,94498
13 220	9,94614
13 230	9,94602
13 240	9,94713
13 250	9,94634
13 260	9,94351
13 270	9,94328
13 280	9,94813
13 290	9,94692
13 300	9,94524
13 310	9,94648
13 320	9,94646
13 330	9,94376
13 340	9,94458
13 350	9,94572
13 360	9,94767
13 370	9,94773
13 380	9,9445
13 390	9,94465
13 400	9,94632
13 410	9,94466
13 420	9,9447
13 430	9,94935
13 440	9,94767
13 450	9,94431
13 460	9,94378
13 470	9,94552
13 480	9,94649
13 490	9,94695
13 500	9,94486
13 510	9,94731
13 520	9,94768
13 530	9,94347
13 540	9,94295
13 550	9,94768
13 560	9,94736
13 570	9,94564
13 580	9,94605
13 590	9,94576
13 600	9,94535
13 610	9,94481
13 620	9,94456
13 630	9,94815
13 640	9,94884
13 650	9,94419
13 660	9,94404
13 670	9,94666
13 680	9,9452
13 690	9,94502
13 700	9,94779
13 710	9,94767
13 720	9,94594
13 730	9,94471
13 740	9,9439
13 750	9,94698
13 760	9,94728
13 770	9,94509
13 780	9,94673
13 790	9,94839
13 800	9,94389
13 810	9,9434
13 820	9,94709
13 830	9,94764
13 840	9,94701
13 850	9,94598
13 860	9,94501
13 870	9,94611
13 880	9,94573
13 890	9,9436
13 900	9,94766
13 910	9,9494
13 920	9,94558
13 930	9,94346
13 940	9,94628
13 950	9,9454
13 960	9,94659
13 970	9,94661
13 980	9,94677
13 990	9,94688
14 000	9,94596
14 010	9,94279
14 020	9,94638
14 030	9,94814
14 040	9,94591
14 050	9,94621
14 060	9,9478
14 070	9,94499
14 080	9,94416
14 090	9,9463
14 100	9,9472
14 110	9,9485
14 120	9,94615
14 130	9,9442
14 140	9,94614
14 150	9,9472
14 160	9,94371
14 170	9,94698
14 180	9,94941
14 190	9,94685
14 200	9,9436
14 210	9,94516
14 220	9,94595
14 230	9,9479
14 240	9,94663
14 250	9,94559
14 260	9,94744
14 270	9,94659
14 280	9,9431
14 290	9,94579
14 300	9,9488
14 310	9,94664
14 320	9,94596
14 330	9,94643
14 340	9,9457
14 350	9,94547
14 360	9,94563
14 370	9,94641
14 380	9,94922
14 390	9,94705
14 400	9,94385
14 410	9,94612
14 420	9,94712
14 430	9,94516
14 440	9,94659
14 450	9,94892
14 460	9,94685
14 470	9,94534
14 480	9,94417
14 490	9,94621
14 500	9,94863
14 510	9,94707
14 520	9,94497
14 530	9,94814
14 540	9,94704
14 550	9,94375
14 560	9,94512
14 570	9,94831
14 580	9,94813
14 590	9,94696
14 600	9,94536
14 610	9,94524
14 620	9,94718
14 630	9,94529
14 640	9,94605
14 650	9,94888
14 660	9,94828
14 670	9,94408
14 680	9,94585
14 690	9,94592
14 700	9,94677
14 710	9,94725
14 720	9,94769
14 730	9,94672
14 740	9,94704
14 750	9,94405
14 760	9,94534
14 770	9,94864
14 780	9,94758
14 790	9,94565
14 800	9,94784
14 810	9,94699
14 820	9,9446
14 830	9,94568
14 840	9,94681
14 850	9,94913
14 860	9,94843
14 870	9,94503
14 880	9,94433
14 890	9,94818
14 900	9,946
14 910	9,94587
14 920	9,94838
14 930	9,94865
14 940	9,94539
14 950	9,94543
14 960	9,94507
14 970	9,94765
14 980	9,94855
14 990	9,94638
15 000	9,9463
15 010	9,94806
15 020	9,945
15 030	9,94443
15 040	9,94835
15 050	9,94826
15 060	9,94684
15 070	9,94687
15 080	9,94612
15 090	9,94568
15 100	9,94675
15 110	9,9461
15 120	9,94837
15 130	9,94929
15 140	9,94517
15 150	9,94444
15 160	9,94786
15 170	9,94712
15 180	9,94606
15 190	9,94808
15 200	9,94794
15 210	9,94683
15 220	9,94549
15 230	9,94472
15 240	9,94768
15 250	9,9499
15 260	9,94608
15 270	9,94588
15 280	9,94817
15 290	9,94627
15 300	9,94487
15 310	9,94725
15 320	9,94826
15 330	9,94792
15 340	9,94747
15 350	9,94475
15 360	9,9464
15 370	9,94751
15 380	9,94644
15 390	9,94737
15 400	9,94971
15 410	9,94579
15 420	9,9449
15 430	9,94668
15 440	9,94759
15 450	9,94694
15 460	9,94841
15 470	9,94703
15 480	9,94748
15 490	9,94624
15 500	9,94478
15 510	9,94738
15 520	9,94996
15 530	9,94712
15 540	9,94594
15 550	9,94765
15 560	9,94627
15 570	9,94617
15 580	9,9468
15 590	9,94804
15 600	9,94881
15 610	9,94807
15 620	9,94419
15 630	9,94645
15 640	9,94786
15 650	9,9471
15 660	9,94718
15 670	9,94916
15 680	9,94665
15 690	9,9462
15 700	9,94576
15 710	9,9465
15 720	9,94862
15 730	9,94885
15 740	9,94631
15 750	9,94695
15 760	9,94692
15 770	9,94516
15 780	9,94731
15 790	9,94898
15 800	9,94768
15 810	9,94703
15 820	9,94697
15 830	9,94594
15 840	9,94709
15 850	9,94681
15 860	9,94731
15 870	9,94967
15 880	9,94836
15 890	9,94429
15 900	9,94592
15 910	9,94831
15 920	9,94769
15 930	9,94787
15 940	9,94765
15 950	9,94729
15 960	9,9476
15 970	9,94578
15 980	9,94542
15 990	9,9495
16 000	9,94944
16 010	9,94615
16 020	9,94688
16 030	9,94724
16 040	9,9462
16 050	9,94717
16 060	9,94814
16 070	9,94799
16 080	9,94884
16 090	9,94623
16 100	9,94545
16 110	9,94752
16 120	9,94771
16 130	9,94671
16 140	9,9497
16 150	9,94818
16 160	9,9452
16 170	9,94578
16 180	9,9479
16 190	9,94774
16 200	9,94876
16 210	9,94713
16 220	9,94687
16 230	9,9483
16 240	9,946
